EventClassIDs,EventClassNames
438cfcaa-1d4f-4637-99bd-c34f5d97f3a2,Member removed from group
368de3d3-8c38-47d3-b588-28c9ac962da0,Member added to group
f813e374-18b1-4e31-88aa-0b2fcbffaec8,User account locked
82dd54d9-bc56-4b88-8933-59a895f9a1d7,User account unlocked
55bcfd07-3d4b-4adf-93a1-c9b0b932d327,User account enabled
cc29a22b-9666-4424-aeef-0f08c9f67115,User account disabled
fb9a53ef-972a-4736-a656-2b78b1bf9f9f,User object added
5227d3a7-9f8e-451c-9089-82be49dfb5aa,User account re-enabled
cc2a76ee-ef32-4433-9c04-2338d16cb02d,DNS PTR record removed
9f0cf375-21a5-498b-8143-38068023d4e1,Local user account locked
4e14cce6-c206-41ad-b454-03870f91530b,DNS A record removed
7f221206-dad1-4036-9d89-c5bfd7239734,User accountExpires changed
a114fab4-215e-4170-a113-494f9e90a078,User member-of added
cdeb945b-5276-4b62-a63e-15d37fa92a31,Group samAccountName changed
f8d0321c-0c10-4772-a187-9c831dd93cc8,User object removed
71c06050-bb0b-4da0-aa55-2bbee8246cc9,User failed to authenticate through Kerberos
32debbce-5cd8-4dd3-9552-ffa366835e24,DNS SRV record removed
21f69f99-cb1e-4020-a044-2d8aef6f62f9,User failed to perform a network logon from a remote computer
4ea8880c-38c8-41ed-acf8-fb269b3e123a,Nested member removed from group
8338fe31-f660-4326-9682-cff606ad7961,User member-of removed
a9257bc8-c001-42b7-8a1c-367048d5859e,Nested member added to group
a8efeee9-3df3-44a0-ae0e-e7285550fc93,DNS CNAME record removed
ecca6222-c68f-4ca0-b9f9-79cca9b37afe,DNS MX record removed
09fcdcd5-d460-43a2-9b2e-f0c0363db2f0,Group object removed
729a29b3-4225-471a-be09-854521d8e289,User logonHours changed
9c7bf3c5-975f-44ac-92c7-7606cdff82a4,Local user account unlocked
416a3a30-ff72-46b9-9281-c0526546c75f,DNS AAAA record removed
0d992b93-391d-4ca1-bf91-6cb01d3d7b09,DNS service removed
94e720a2-ab94-4fcb-b627-0ddde3dbe996,DACL changed on user object
638ab676-72d7-4e8e-b2b2-5ca86b961ced,User failed to log on interactively
01d1ce93-1e1c-4354-979c-69cb3027061d,User failed to log on interactively from a remote computer
4f754162-3084-4cb8-baeb-30c563d03b77,Name server removed
253b9d9a-eada-46c0-ac8e-88bb985adb8a,Zone delegation removed
22b07a46-2f7a-4ea9-a54b-c01d10c01e20,Contents of DNS server list changed
239203f4-e09e-45c8-b6ef-29022b6756b6,DACL changed on AdminSDHolder object
acbe0e4f-2d3b-481c-a2db-89992b64ffe4,User Password Never Expires option changed
255c4ff1-31d6-47b8-9b76-68d3d6bef32e,User StrongAuthenticationMethod property changed
a0a865ae-391f-4fbe-868e-2c6d010c4d61,Logon Script changed on user object
0c1ce934-8445-409f-8838-fc3845e4218a,User samAccountName changed
60794551-05fb-405f-b4bf-377f8c187c72,Group object added
7a65b31d-2616-4a45-9569-a08c01ad5633,Use of dynamic DNS changed
bbb5e55d-8716-4ed8-ae90-d0aa1f171364,User object moved
d27f4cdb-4fd5-405c-be9d-e28039f5ad1a,Linked Group Policy on OU changed
60681a29-f92b-4b5c-b0d1-8198f4310499,User Account Is Trusted For Delegation option changed
be0e6c42-f8a8-4d9e-ad09-5af9e567d041,Delegation Authentication Protocol changed for user object
9cb2135e-d8d9-483d-9918-18d7bf97d710,Group policy linked
3b76a5fc-5bf4-4e9e-9944-88642c97069c,Group policy unlinked
fa9b7ec1-e285-4900-85a9-8ba72676c975,User password changed
3d35fdbf-efa3-40f1-aa34-7f7d86478fee,Connection-specific DNS Suffix changed
212759c2-e9dc-4b58-92b6-302a050ee80c,Contents of DNS suffix list changed
3e032945-0a5f-4e3d-8d51-f422b7439d9f,Use Connection Suffix in DNS Registration option changed
96f5444d-624f-4d5b-9d91-e6d0cbd1c864,Connection DNS Registration option changed
ef8a09ed-33a7-4f3b-b6d7-7366caa47f4b,Connect client drives at logon changed for user object
b91023e9-f34b-4998-a557-8f5ab1f7e3f6,Connect client printers at logon changed for user object
a8a69203-269e-4418-9435-ce09cda22aa7,Terminal Services logon permission changed
8506523c-4624-4c54-8925-af1e8dc3055c,User Must Change Password At Next Logon option changed
4c22d0c6-4934-4315-84ab-918be076138a,User Smart Card Is Required For Interactive Logon option changed
2b262f03-67bf-4b69-bde6-33b64b0a059c,Member added to critical enterprise group
3570f62b-3d80-43f4-8c70-ff84a52b81a2,Group type changed
a29992df-365e-47cc-8d10-32adf0d78898,Active Directory share added
a9e4237c-b253-41ef-b16b-91e7e9c9418d,Active Directory share removed
c3835aeb-afd9-48d7-81f4-b3636fb482be,Group object moved
ea706ff4-711d-4bfe-9fe1-563d552cf9d3,Domain user renamed
5f8b3e9c-e142-4c28-9c23-d75146867d13,Site added
fc81226f-a2eb-4cd0-af38-a0ef72377c01,Site link added
c8dff58e-1103-4e22-ba9a-b6c643e64e24,User logged on interactively
b3d0dfcb-997a-4366-8bec-b450c645fe3f,User userWorkstations added
a1dcbae4-a2cd-4cc9-915a-e33605a2d912,User userWorkstations removed
e8c34938-0623-430c-9615-57bd5141b399,Group policy Disabled setting on domain changed
2c7f7f2c-be64-4694-b1f6-40927ddeac58,User userPrincipalName changed
c4fa06b4-de4d-40ae-9312-268fba3c9eb9,User logged on interactively from a remote computer
8eca92a3-2ec6-4b4c-85d2-e082bca614d3,Service Added to Delegation List for user object
a5d517e7-c21e-4c46-80f8-78a2ee3b4e43,Service Removed from Delegation List for user object
c45e60c5-f86b-45f6-952a-b7a16c6dc47d,Home Folder changed on user object
ca46aa9a-9d05-458c-8e5d-e2030d3b4ba8,Home Folder Mapped Drive changed on user object
4106163e-a198-49e7-861c-e42eba2e765c,Level of Control changed for user object
e5161217-794f-49ff-99ac-b7ffc8ea4315,Primary Group ID changed for user object
a518464c-ae36-4ea6-a262-5d9538c79b6b,Audit Account Logon Events policy changed
1658726a-6554-477f-9136-fb88b0484185,Audit Account Management policy changed
6a745080-d52b-41e4-b6c0-3a297602cfbb,Audit Directory Service Access policy changed
