property,Available for NonDNS,Available for DNS,filter,display,display: meaning,filter: meaning,filter: is mandatory?,filter: allowed states,filter: input,filter: values
Type,TRUE,TRUE,TRUE,FALSE,,Determines if the report is DNS or NonDNS.,Mandatory for both DNS and NonDNS.,Only state is 'Is'.,Can only be 'Preset'.,DNS or NonDNS.
DateRange,TRUE,TRUE,TRUE,FALSE,,The date range to consider.,Not mandatory.,Only state is 'Is'.,Can be 'Preset' or 'UserInput'.,Can be relative or absolute.
Operations,TRUE,TRUE,TRUE,FALSE,,The types of AD operations.,Not mandatory.,"Can only be set to one of these: [Include, Exclude]",Can be 'Preset' or 'UserInput'.,"Multiple choice from: Create, Modify, Add, Remove, Move, Delete, Restore"
ObjectClasses,TRUE,FALSE,TRUE,FALSE,,The AD object classes.,Not mandatory.,"Can only be set to one of these: [Include, Exclude]",Can be 'Preset' or 'UserInput'.,"Multiple choice from all Active Directory object classes (e.g. aCSresourceLimits, applicationSettings, account, aCSPolicy...)"
Partitions,TRUE,FALSE,TRUE,FALSE,,Active Directory DNS partitions.,Mandatory for NonDNS reports.,"Can only be set to one of these: [Include, Exclude]",Can be 'Preset' or 'UserInput'.,Closed list: The available Partitions.
Attributes,TRUE,FALSE,TRUE,FALSE,,The AD attributes.,Not mandatory.,"Can only be set to one of these: [Include, Exclude]",Can be 'Preset' or 'UserInput'.,"Multiple choice from all Active Directory attribute names (e.g. accountNameHistory, accountExpires, aCSAggregateTokenRatePerUser…)"
ObjectDN,TRUE,FALSE,TRUE,FALSE,,The object's Distinguished Name.,Not mandatory.,"Can only be set to one of these: [Equals, not equals, starts with]",Can be 'Preset' or 'UserInput'.,Domain id.
OldValue,TRUE,TRUE,TRUE,FALSE,,The old value of the object's attirubute.,Not mandatory.,"Can only be set to one of these: [Contains, NotContain, Equals, NotEquals IsNotNullAndNotEmpty, IsNullOrEmpty]",Can be 'Preset' or 'UserInput'.,Free text.
NewValue,TRUE,TRUE,TRUE,FALSE,,The new value of the object's attirubute.,Not mandatory.,"Can only be set to one of these: [Contains, NotContain, Equals, NotEquals IsNotNullAndNotEmpty, IsNullOrEmpty]",Can be 'Preset' or 'UserInput'.,Free text.
ChangedBy,TRUE,TRUE,TRUE,FALSE,,The value of the object that caused the change.,Not mandatory.,"Can only be set to one of these: [Contains, NotContain, Equals, NotEquals IsNotNullAndNotEmpty, IsNullOrEmpty]",Can be 'Preset' or 'UserInput'.,Free text.
